,Nombre,Apellidos,Area,Num_Publicaciones,Publicacion,Extra
74,Jezabel Miriam,Molina Gil,Ciencia de la Computación e Inteligencia Artificial,4,"La ciberseguridad necesita mujeres y las mujeres necesitan ciberseguridadCTS: Revista iberoamericana de ciencia, tecnología y sociedad, Vol. 19, Núm. 56, pp. 101-115",
73,Jezabel Miriam,Molina Gil,Ciencia de la Computación e Inteligencia Artificial,4,"Improving the lightweight implementation of SNOW-VWireless Networks, Vol. 30, Núm. 6, pp. 5823-5835",
72,Jezabel Miriam,Molina Gil,Ciencia de la Computación e Inteligencia Artificial,4,"Covert 19th century political intrigues of Tenerife nobility revealed by cryptanalyzing an encrypted letterCryptologia, pp. 1-27",
75,Jezabel Miriam,Molina Gil,Ciencia de la Computación e Inteligencia Artificial,4,"Research on smart-locks cybersecurity and vulnerabilitiesWireless Networks, Vol. 30, Núm. 6, pp. 5905-5917",
136,María Eugenia,Monzón Perdomo,Historia Moderna,0,,
59,Coromoto León,N/A,Lenguajes y Sistemas Informáticos,5,"Analysis of Sentiment Toward Computer Science in Pre-University EducationIEEE Access, Vol. 12, pp. 71205-71218",
60,Coromoto León,N/A,Lenguajes y Sistemas Informáticos,5,"Estudio sobre la actitud hacia la Inteligencia Artificial en la educación preuniversitariaActas de las Jornadas sobre la Enseñanza Universitaria de la Informática (JENUI), Núm. 9, pp. 173-180",
63,Coromoto León,N/A,Lenguajes y Sistemas Informáticos,5,"Una experiencia de uso de un asistente de programación en el aulaActas de las Jornadas sobre la Enseñanza Universitaria de la Informática (JENUI), Núm. 9, pp. 303-310",
61,Coromoto León,N/A,Lenguajes y Sistemas Informáticos,5,"Synthesising Diverse and Discriminatory Sets of Instances Using Novelty Search in Combinatorial DomainsEvolutionary Computation, pp. 1-36",
62,Coromoto León,N/A,Lenguajes y Sistemas Informáticos,5,"Training future engineers: Integrating Computational Thinking and effective learning methodologies into educationComputer Applications in Engineering Education, Vol. 32, Núm. 3",
137,Yolanda,Peralta Sierra,Historia del Arte,0,,
